url,title,score,posterImagePath,certification,overview,tagline,genres,trailerUrl,language
https://www.themoviedb.org/tv/46260,"Naruto
(2002)",84.0,poster_final/46260.jpg,TV-PG,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",,"Phim Hoạt Hình, Action & Adventure, Sci-Fi & Fantasy",,en
https://www.themoviedb.org/tv/60735,"Tia Chớp
(2014)",76.0,poster_final/60735.jpg,TV-PG,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",The fastest man alive.,"Phim Chính Kịch, Sci-Fi & Fantasy",https://www.themoviedb.org/video/play?key=dAyM5GPa_IQ,en
https://www.themoviedb.org/tv/67335,"Sin senos sí hay paraíso
(2016)",75.0,poster_final/67335.jpg,TV-MA,A young woman born in a mafia-controlled town seeks revenge on those who wrongfully harmed and imprisoned her family.,,"Action & Adventure, Phim Hình Sự, Phim Chính Kịch, Phim Bí Ẩn",,en
https://www.themoviedb.org/tv/91605,"I Am...
(2019)",52.0,poster_final/91605.jpg,14,"Each hour-long film follows a different women as they experience “moments that are emotionally raw, thought-provoking and utterly personal”.",,Phim Chính Kịch,,en
https://www.themoviedb.org/tv/1622,"Supernatural
(2005)",81.0,poster_final/1622.jpg,TV-14,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way.",Between darkness and deliverance,"Phim Chính Kịch, Phim Bí Ẩn, Sci-Fi & Fantasy",,en
https://www.themoviedb.org/tv/1402,"Xác Sống
(2010)",80.0,poster_final/1402.jpg,TV-MA,"Loạt phim xoay quanh nhân vật do nam diễn viên Andrew Lincoln thủ vai chính là phó cảnh sát trưởng Rick Grimes, người đã tỉnh dậy sau một khoảng thời gian hôn mê và nhận ra rằng thế giới đã bước vào thời kỳ hậu tận thế với sự xuất hiện tràn lan của thây ma ăn thịt. Anh lên đường tìm kiếm gia đình mình và gặp được nhiều người vẫn còn sống sót trên đường đi.",Fight the dead. Fear the living.,"Action & Adventure, Phim Chính Kịch, Sci-Fi & Fantasy",,vi
https://www.themoviedb.org/tv/58841,"Chicago P.D.
(2014)",83.0,poster_final/58841.jpg,TV-14,"A riveting police drama about the men and women of the Chicago Police Department's District 21 who put it all on the line to serve and protect their community. District 21 is made up of two distinctly different groups: the uniformed cops who patrol the beat and go head-to-head with the city's street crimes and the Intelligence Unit that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.",Break the rules. Not the law.,"Phim Hình Sự, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/82809,"False Identity
(2018)",72.0,poster_final/82809.jpg,,"Isabel and Diego, two complete strangers, must assume the identity of a married couple in order to flee the state of Sonora.",,"Phim Hình Sự, Action & Adventure",,en
https://www.themoviedb.org/tv/2734,"Law & Order: Special Victims Unit
(1999)",76.0,poster_final/2734.jpg,TV-14,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",,"Phim Hình Sự, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/71446,"Phi Vụ Triệu Đô
(2017)",83.0,poster_final/71446.jpg,16,Tám tên cướp khống chế các con tin trong Xưởng in tiền Hoàng gia Tây Ban Nha trong khi kẻ chủ mưu thao túng cảnh sát để thực hiện kế hoạch của hắn.,The perfect robbery.,"Phim Hình Sự, Phim Chính Kịch",,vi
https://www.themoviedb.org/tv/4604,"Smallville
(2001)",81.0,poster_final/4604.jpg,TV-PG,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,Every story has a beginning.,"Action & Adventure, Sci-Fi & Fantasy, Phim Chính Kịch",,en
